1	AR-5381	\N	Adjustable Race	NA	1000	750	\N	0	\N	\N	\N	00:00.0	\N	Current
2	BA-8327	\N	Bearing Ball	NA	1000	750	\N	0	\N	\N	\N	00:00.0	\N	Current
3	BE-2349	\N	BB Ball Bearing	NA	800	600	\N	1	\N	\N	\N	00:00.0	\N	Current
4	BE-2908	\N	Headset Ball Bearings	NA	800	600	\N	0	\N	\N	\N	00:00.0	\N	Current
5	BL-2036	\N	Blade	NA	800	600	\N	1	\N	\N	\N	00:00.0	\N	Current
6	CA-5965	\N	LL Crankarm	Black	500	375	\N	0	\N	\N	\N	00:00.0	\N	Current
7	CA-6738	\N	ML Crankarm	Black	500	375	\N	0	\N	\N	\N	00:00.0	\N	Current
8	CA-7457	\N	HL Crankarm	Black	500	375	\N	0	\N	\N	\N	00:00.0	\N	Current
9	CB-2903	\N	Chainring Bolts	Silver	1000	750	\N	0	\N	\N	\N	00:00.0	\N	Current
10	CN-6137	\N	Chainring Nut	Silver	1000	750	\N	0	\N	\N	\N	00:00.0	\N	Current
11	CR-7833	\N	Chainring	Black	1000	750	\N	0	\N	\N	\N	00:00.0	\N	Current
12	CR-9981	\N	Crown Race	NA	1000	750	\N	0	\N	\N	\N	00:00.0	\N	Current
13	CS-2812	\N	Chain Stays	NA	1000	750	\N	1	\N	\N	\N	00:00.0	\N	Current
14	DC-8732	\N	Decal 1	NA	1000	750	\N	0	\N	\N	\N	00:00.0	\N	Current
15	DC-9824	\N	Decal 2	NA	1000	750	\N	0	\N	\N	\N	00:00.0	\N	Current
16	DT-2377	\N	Down Tube	NA	800	600	\N	1	\N	\N	\N	00:00.0	\N	Current
17	EC-M092	\N	Mountain End Caps	NA	1000	750	\N	1	\N	\N	\N	00:00.0	\N	Current
18	EC-R098	\N	Road End Caps	NA	1000	750	\N	1	\N	\N	\N	00:00.0	\N	Current
19	EC-T209	\N	Touring End Caps	NA	1000	750	\N	1	\N	\N	\N	00:00.0	\N	Current
20	FE-3760	\N	Fork End	NA	800	600	\N	1	\N	\N	\N	00:00.0	\N	Current
21	FH-2981	\N	Freewheel	Silver	500	375	\N	0	\N	\N	\N	00:00.0	\N	Current
22	FW-1000	\N	Flat Washer 1	NA	1000	750	\N	0	\N	\N	\N	00:00.0	\N	Current
23	FW-1200	\N	Flat Washer 6	NA	1000	750	\N	0	\N	\N	\N	00:00.0	\N	Current
24	FW-1400	\N	Flat Washer 2	NA	1000	750	\N	0	\N	\N	\N	00:00.0	\N	Current
25	FW-3400	\N	Flat Washer 9	NA	1000	750	\N	0	\N	\N	\N	00:00.0	\N	Current
26	FW-3800	\N	Flat Washer 4	NA	1000	750	\N	0	\N	\N	\N	00:00.0	\N	Current
27	FW-5160	\N	Flat Washer 3	NA	1000	750	\N	0	\N	\N	\N	00:00.0	\N	Current
28	FW-5800	\N	Flat Washer 8	NA	1000	750	\N	0	\N	\N	\N	00:00.0	\N	Current
29	FW-7160	\N	Flat Washer 5	NA	1000	750	\N	0	\N	\N	\N	00:00.0	\N	Current
30	FW-9160	\N	Flat Washer 7	NA	1000	750	\N	0	\N	\N	\N	00:00.0	\N	Current
31	FC-3654	\N	Fork Crown	NA	800	600	\N	1	\N	\N	\N	00:00.0	\N	Current
32	FC-3982	\N	Front Derailleur Cage	Silver	800	600	\N	0	\N	\N	\N	00:00.0	\N	Current
